,condition,milage,Year,Brand,Model,Model_Vers,S_RS,Cabriolet,Color,Transmission,6,7
69,Porsche Certified,11427,2016,Porsche,911,GT3,RS,,White,Automatic,,
70,Used,100367,2007,Porsche,911,Carrera,,,White,Automatic,,
71,Used,26917,2016,Porsche,911,Carrera,GTS,,White,Automatic,,
72,Used,50972,2009,Porsche,911,Carrera,S,Cabriolet,White,Automatic,,
73,Used,25520,2016,Porsche,911,Turbo,S,,White,Automatic,,
74,Used,37321,2014,Porsche,911,Turbo,S,,White,Automatic,,
75,Used,22792,2013,Porsche,911,Carrera,S,,White,Automatic,,
76,Used,31553,2015,Porsche,911,Turbo,S,,White,Automatic,,
77,Used,40000,2014,Porsche,911,Turbo,S,,White,Automatic,,
78,Used,22878,2015,Porsche,911,GT3,,,White,Automatic,,
79,Porsche Certified,1457,2016,Porsche,911,Turbo,,,White,Automatic,,
80,Porsche Certified,13780,2016,Porsche,911,GT3,,,White,Automatic,,
81,Porsche Certified,10296,2018,Porsche,911,Carrera,,,White,Automatic,,
82,Used,58556,2011,Porsche,911,Carrera,4S,,White,Automatic,,
83,Used,36525,2013,Porsche,911,Carrera,S,,White,Automatic,,
84,Used,39881,2007,Porsche,911,Carrera,S,Cabriolet,White,Automatic,,
85,Used,18589,2015,Porsche,911,Targa,4S,,White,Automatic,,
86,Used,13786,2015,Porsche,911,Carrera,,,White,Automatic,,
87,Used,10114,2018,Porsche,911,Turbo,,,White,Automatic,,
88,Used,22978,2016,Porsche,911,Carrera,S,,White,Automatic,,
89,Used,44999,2017,Porsche,911,Carrera,S,,White,Automatic,,
90,Used,45476,2014,Porsche,911,Carrera,4S,,White,Automatic,,
91,Porsche Certified,29089,2014,Porsche,911,Carrera,S,,White,Automatic,,
92,Used,11991,2015,Porsche,911,Turbo,S,,White,Automatic,,
93,Porsche Certified,7249,2018,Porsche,911,GT3,,,White,Automatic,,
94,Used,5932,2018,Porsche,911,Carrera,,,White,Automatic,,
95,Used,18563,2017,Porsche,911,Carrera,,,White,Automatic,,
96,Porsche Certified,8305,2017,Porsche,911,Turbo,S,,White,Automatic,,
97,Used,10000,2016,Porsche,911,Turbo,,,White,Automatic,,
98,Porsche Certified,7192,2017,Porsche,911,Carrera,S,,White,Automatic,,
99,Used,40687,2008,Porsche,911,Turbo,Cabriolet,,White,Automatic,,
0,Used,82320,2008,Porsche,911,Carrera,,,Red,Automatic,,
1,Used,42322,2007,Porsche,911,Turbo,,,Red,Automatic,,
2,Used,5517,2019,Porsche,911,Carrera,T,,Red,Automatic,,
3,Used,85114,2007,Porsche,911,Turbo,,,Red,Automatic,,
4,Used,19671,2017,Porsche,911,Turbo,S,,Red,Automatic,,
5,Used,30495,2013,Porsche,911,Carrera,S,,Red,Automatic,,
6,Used,38549,2008,Porsche,911,Targa,4S,,Red,Automatic,,
7,Used,52734,2007,Porsche,911,Carrera,,,Red,Automatic,,
8,Porsche Certified,39023,2015,Porsche,911,Carrera,4S,,Red,Automatic,,
9,Used,28722,2016,Porsche,911,Targa,4S,,Red,Automatic,,
10,Used,92498,2007,Porsche,911,Turbo,,,Red,Automatic,,
11,Used,8400,2014,Porsche,911,GT3,,,Red,Automatic,,
12,Used,20911,2008,Porsche,911,Turbo,,,Red,Automatic,,
13,Used,42752,2012,Porsche,911,Carrera,S,,Red,Automatic,,
14,Used,2575,2019,Porsche,911,GT3,RS,,Red,Automatic,,
15,Used,14833,2018,Porsche,911,GT3,,,Red,Automatic,,
16,Used,36324,2007,Porsche,911,Turbo,,,Red,Automatic,,
17,Used,16000,2014,Porsche,911,Turbo,S,,Red,Automatic,,
18,Used,33434,2014,Porsche,911,Turbo,S,,Red,Automatic,,
19,Used,28555,2014,Porsche,911,Carrera,,,Red,Automatic,,
20,Used,20171,2017,Porsche,911,Carrera,S,,Red,Automatic,,
21,Porsche Certified,5336,2019,Porsche,911,Carrera,4S,,Red,Automatic,,
22,Used,31005,2015,Porsche,911,Carrera,S,,Red,Automatic,,
23,Used,22417,2017,Porsche,911,Carrera,S,,Red,Automatic,,
24,Used,25106,2011,Porsche,911,Turbo,S,,Red,Automatic,,
25,Used,39081,2008,Porsche,911,Carrera,S,Cabriolet,Red,Automatic,,
26,Used,63720,2009,Porsche,911,Carrera,4S,Cabriolet,Red,Automatic,,
27,Used,24122,2012,Porsche,911,Turbo,S,,Red,Automatic,,
28,Used,21177,2017,Porsche,911,Carrera,,,Red,Automatic,,
29,Porsche Certified,23060,2012,Porsche,911,Carrera,4,GTS,Red,Automatic,,
30,Used,62073,2007,Porsche,911,Turbo,,,Red,Automatic,,
31,Used,3000,2019,Porsche,911,Carrera,T,,Red,Automatic,,
32,Used,31612,2013,Porsche,911,Carrera,S,,Red,Automatic,,
33,Used,37193,2008,Porsche,911,Targa,4S,,Red,Automatic,,
34,Used,88822,2011,Porsche,911,Carrera,GTS,,Red,Automatic,,
35,Used,35946,2014,Porsche,911,Carrera,S,,Red,Automatic,,
36,Used,48053,2007,Porsche,911,Turbo,,,Red,Automatic,,
37,Used,11208,2017,Porsche,911,Targa,4S,,Red,Automatic,,
38,Used,13263,2009,Porsche,911,Carrera,4S,Cabriolet,Red,Automatic,,
39,Used,305,2018,Porsche,911,GT2,RS,,Red,Automatic,,
40,Porsche Certified,11958,2016,Porsche,911,Turbo,,,Red,Automatic,,
41,Used,34799,2008,Porsche,911,Targa,4S,,Red,Automatic,,
42,Used,7941,2008,Porsche,911,4S,,,Red,Automatic,,
43,Porsche Certified,15723,2015,Porsche,911,GT3,,,Red,Automatic,,
44,Used,25390,2015,Porsche,911,Turbo,S,,Red,Automatic,,
45,Used,34187,2009,Porsche,911,Carrera,S,Cabriolet,Red,Automatic,,
46,Used,23827,2014,Porsche,911,Carrera,4S,,Red,Automatic,,
47,Porsche Certified,5046,2019,Porsche,911,,,,Red,Automatic,,
48,Used,29272,2016,Porsche,911,Targa,4,GTS,Red,Automatic,,
49,Used,3071,2011,Porsche,911,Turbo,S,,Red,Automatic,,
50,Used,53969,2007,Porsche,911,Carrera,Cabriolet,,Red,Automatic,,
51,Used,1136,2019,Porsche,911,GT2,RS,,Red,Automatic,,
52,Used,10189,2017,Porsche,911,Turbo,,,Red,Automatic,,
53,Used,20976,2018,Porsche,911,Carrera,4S,,Red,Automatic,,
54,Porsche Certified,27534,2016,Porsche,911,Carrera,4S,,Red,Automatic,,
55,Used,4505,2017,Porsche,911,Turbo,S,,Red,Automatic,,
56,Used,6026,2018,Porsche,911,GT3,,,Red,Automatic,,
57,Used,6489,2018,Porsche,911,GT3,,,Red,Automatic,,
58,Porsche Certified,7047,2018,Porsche,911,Carrera,S,,Red,Automatic,,
59,Porsche Certified,16504,2015,Porsche,911,GT3,,,Red,Automatic,,
60,Porsche Certified,7420,2019,Porsche,911,Carrera,,,Red,Automatic,,
61,Used,4355,2016,Porsche,911,Targa,4S,,Red,Automatic,,
62,Used,3734,2018,Porsche,911,GT2,RS,,Red,Automatic,,
63,Porsche Certified,5714,2018,Porsche,911,Carrera,S,,Red,Automatic,,
64,Used,5709,2014,Porsche,911,Carrera,S,,Red,Automatic,,
65,Used,2300,2019,Porsche,911,Turbo,,,Red,Automatic,,
66,Used,26821,2017,Porsche,911,Carrera,,,Red,Automatic,,
67,Used,9600,2016,Porsche,911,Carrera,GTS,,Red,Automatic,,
68,Used,35020,2015,Porsche,911,Carrera,S,,Red,Automatic,,
69,Used,5200,2017,Porsche,911,Targa,4S,,Red,Automatic,,
70,Porsche Certified,2129,2019,Porsche,911,Turbo,,,Red,Automatic,,
71,Used,1513,2018,Porsche,911,GT2,RS,,Red,Automatic,,
72,Porsche Certified,2862,2018,Porsche,911,Turbo,S,,Red,Automatic,,
73,Used,50678,2009,Porsche,911,Carrera,4S,,Red,Automatic,,
74,Used,19482,2011,Porsche,911,Carrera,GTS,,Red,Automatic,,
75,Used,6412,2017,Porsche,911,Carrera,S,,Red,Automatic,,
76,Used,1585,2019,Porsche,911,Turbo,S,,Red,Automatic,,
77,Used,41502,2016,Porsche,911,Turbo,,,Red,Automatic,,
78,Porsche Certified,15232,2018,Porsche,911,Carrera,GTS,,Red,Automatic,,
79,Porsche Certified,22312,2017,Porsche,911,Carrera,4S,,Red,Automatic,,
80,Used,12500,2015,Porsche,911,GT3,,,Red,Automatic,,
81,Used,18569,2014,Porsche,911,GT3,,,Red,Automatic,,
82,Used,1115,2017,Porsche,911,Carrera,GTS,,Red,Automatic,,
83,Used,14611,2016,Porsche,911,Carrera,GTS,,Red,Automatic,,
84,Porsche Certified,10318,2014,Porsche,911,GT3,,,Red,Automatic,,
85,Used,5115,2019,Porsche,911,Carrera,S,,Red,Automatic,,
86,Porsche Certified,17066,2015,Porsche,911,Carrera,GTS,,Red,Automatic,,
87,Used,4799,2017,Porsche,911,Targa,4S,,Red,Automatic,,
88,Used,1016,2019,Porsche,911,Turbo,,,Red,Automatic,,
89,Used,7312,2017,Porsche,911,Turbo,,,Red,Automatic,,
90,Used,50078,2017,Porsche,911,Carrera,S,,Red,Automatic,,
91,Used,7301,2018,Porsche,911,Carrera,S,,Red,Automatic,,
92,Used,13444,2015,Porsche,911,GT3,,,Red,Automatic,,
93,Used,11453,2018,Porsche,911,Carrera,GTS,,Red,Automatic,,
94,Porsche Certified,3829,2019,Porsche,911,Carrera,,,Red,Automatic,,
95,Used,42772,2012,Porsche,911,Carrera,S,,Red,Automatic,,
96,Used,18702,2012,Porsche,911,,,,Red,Automatic,,
97,Used,61784,2008,Porsche,911,Carrera,S,Cabriolet,Red,Automatic,,
0,Used,15541,2015,Porsche,911,Carrera,,,Other,Automatic,,
1,Used,28724,2015,Porsche,911,Carrera,,,Other,Automatic,,
2,Used,27275,2015,Porsche,911,Targa,4S,,Other,Automatic,,
3,Used,27268,2015,Porsche,911,Carrera,4,,Other,Automatic,,
4,Used,37201,2009,Porsche,911,Targa,4S,,Other,Automatic,,
5,Used,45687,2014,Porsche,911,Carrera,,,Other,Automatic,,
6,Used,29996,2016,Porsche,911,Targa,4S,,Other,Automatic,,
7,Used,3044,2014,Porsche,911,Turbo,S,,Other,Automatic,,
8,Used,41148,2014,Porsche,911,Carrera,,,Other,Automatic,,
9,Used,12317,2015,Porsche,911,GT3,,,Other,Automatic,,
10,Used,5190,2016,Porsche,911,GT3,RS,,Other,Automatic,,
11,Used,25799,2014,Porsche,911,Carrera,S,,Other,Automatic,,
12,Used,75658,2012,Porsche,911,Carrera,S,,Other,Automatic,,
13,Used,36525,2008,Porsche,911,Turbo,Cabriolet,,Other,Automatic,,
14,Used,1336,2019,Porsche,911,GT3,RS,,Other,Automatic,,
15,Used,28822,2014,Porsche,911,Carrera,4S,,Other,Automatic,,
16,Used,17867,2016,Porsche,911,Turbo,S,,Other,Automatic,,
17,Used,12126,2016,Porsche,911,GT3,RS,,Other,Automatic,,
18,Used,17157,2014,Porsche,911,Carrera,S,,Other,Automatic,,
19,Used,36012,2015,Porsche,911,Turbo,S,,Other,Automatic,,
