car,condition,milage,extar_info
2018 Porsche 911 Carrera,Used,6672 mi.,85900
2019 Porsche 911 GT3 RS,Used,1998 mi.,188888
2018 Porsche 911 Turbo S,Used,13468 mi.,170099
2019 Porsche 911 GT2 RS,Used,1195 mi.,439900
2019 Porsche 911 Carrera 4 GTS,Used,10442 mi.,139995
2019 Porsche 911 GT3 RS,Used,3643 mi.,196991
2019 Porsche 911 Carrera S,Used,4126 mi.,112995
2014 Porsche 911 Turbo,Used,6725 mi.,120950
2019 Porsche 911 Turbo S,Porsche Certified,1594 mi.,233900
2016 Porsche 911 Turbo S,Porsche Certified,10627 mi.,143897
2016 Porsche 911 GT3 RS,Used,1128 mi.,194990
2019 Porsche 911 Turbo S,Used,267 mi.,298500
2018 Porsche 911 GT2 RS,Used,775 mi.,320000
2017 Porsche 911 Turbo S,Used,11960 mi.,164959
2018 Porsche 911 GT3,Used,2953 mi.,162500
2016 Porsche 911 GT3 RS,Used,5736 mi.,156982
2019 Porsche 911 GT3,Used,4389 mi.,189900
2015 Porsche 911 GT3,Used,13168 mi.,123997
2016 Porsche 911 GT3 RS,Used,13833 mi.,152900
2014 Porsche 911 GT3,Used,7100 mi.,124500
2019 Porsche 911 Carrera S,Porsche Certified,5043 mi.,104995
2016 Porsche 911 Targa 4S,Used,11600 mi.,109900
